position,name,cost,date,home team,home goals,away goals,away team,team,start minute,finish minute,minutes,goals,penalties,assists,goals+assists,yellow cards,red cards,clean sheets,points
Нп,Дзюба,9,14.07.2019,Зенит,2,1,Тамбов,Зенит,1,90,90,1,0,0,1,0,0,0,6
Нп,Дзюба,9,21.07.2019,Сочи,0,2,Зенит,Зенит,65,90,26,0,0,1,1,0,0,0,4
Нп,Дзюба,9,28.07.2019,Оренбург,0,2,Зенит,Зенит,1,78,78,1,1,1,2,1,0,1,8
Нп,Дзюба,9,03.08.2019,Зенит,1,1,Краснодар,Зенит,1,90,90,1,0,0,1,0,0,0,6
Нп,Дзюба,9,10.08.2019,Динамо,0,2,Зенит,Зенит,1,90,90,1,0,1,2,0,0,1,9
Нп,Дзюба,9,17.08.2019,Зенит,0,0,Ахмат,Зенит,1,90,90,0,0,0,0,0,0,1,2
Нп,Дзюба,9,24.08.2019,Уфа,1,0,Зенит,Зенит,1,90,90,0,0,0,0,0,0,0,2
Нп,Дзюба,9,01.09.2019,Спартак,0,1,Зенит,Зенит,1,90,90,0,0,0,0,0,0,1,2
Нп,Дзюба,9,13.09.2019,Зенит,3,1,Арсенал Тула,Зенит,1,90,90,1,0,0,1,0,0,0,6
Нп,Дзюба,9,21.09.2019,Зенит,5,0,Рубин,Зенит,1,90,90,0,0,2,2,0,0,1,8
Нп,Дзюба,9,28.09.2019,Локомотив,1,0,Зенит,Зенит,1,90,90,0,0,0,0,0,0,0,2
Нп,Дзюба,9,06.10.2019,Урал,1,3,Зенит,Зенит,1,90,90,0,0,1,1,0,0,0,5
Нп,Дзюба,9,19.10.2019,Зенит,6,1,Ростов,Зенит,1,90,90,3,2,2,5,0,0,0,20
Нп,Дзюба,9,27.10.2019,Крылья Советов,0,2,Зенит,Зенит,64,90,27,1,0,0,1,0,0,0,5
Нп,Дзюба,9,02.11.2019,Зенит,1,1,ЦСКА,Зенит,1,90,90,0,0,1,1,0,0,0,5
Нп,Дзюба,9,10.11.2019,Арсенал Тула,0,1,Зенит,Зенит,1,90,90,0,0,0,0,0,0,1,2
Нп,Дзюба,9,23.11.2019,Рубин,1,2,Зенит,Зенит,1,90,90,1,0,0,1,0,0,0,6
Нп,Дзюба,9,01.12.2019,Зенит,1,0,Спартак,Зенит,1,90,90,0,0,0,0,0,0,1,2
Нп,Дзюба,9,06.12.2019,Зенит,3,0,Динамо,Зенит,1,74,74,1,0,0,1,0,0,1,6
Нп,Дзюба,9,09.03.2020,Зенит,0,0,Уфа,Зенит,1,90,90,0,0,0,0,0,0,1,2
Нп,Дзюба,9,14.03.2020,Зенит,7,1,Урал,Зенит,1,90,90,2,1,1,3,0,0,0,13
Нп,Дзюба,9,20.06.2020,ЦСКА,0,4,Зенит,Зенит,1,90,90,0,0,0,0,0,0,1,2
Нп,Дзюба,9,26.06.2020,Зенит,2,1,Крылья Советов,Зенит,1,90,90,2,2,0,2,0,0,0,10
Нп,Дзюба,9,01.07.2020,Тамбов,1,2,Зенит,Зенит,1,90,90,0,0,1,1,0,0,0,5
Нп,Дзюба,9,05.07.2020,Краснодар,2,4,Зенит,Зенит,1,88,88,1,1,1,2,0,0,0,9
Нп,Дзюба,9,08.07.2020,Зенит,2,1,Сочи,Зенит,1,90,90,0,0,1,1,1,0,0,4
Нп,Дзюба,9,15.07.2020,Зенит,4,1,Оренбург,Зенит,1,90,90,1,0,0,1,0,0,0,6
Нп,Дзюба,9,22.07.2020,Ростов,1,2,Зенит,Зенит,46,90,45,0,0,0,0,0,0,0,1
Пз,Влашич,8,14.07.2019,Крылья Советов,2,0,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Пз,Влашич,8,20.07.2019,ЦСКА,2,1,Оренбург,ЦСКА,1,90,90,1,0,0,1,0,0,0,7
Пз,Влашич,8,28.07.2019,ЦСКА,1,0,Локомотив,ЦСКА,1,90,90,0,0,0,0,0,0,1,3
Пз,Влашич,8,04.08.2019,Рубин,0,1,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,1,3
Пз,Влашич,8,11.08.2019,ЦСКА,0,0,Сочи,ЦСКА,1,90,90,0,0,0,0,0,0,1,3
Пз,Влашич,8,19.08.2019,Спартак,2,1,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Пз,Влашич,8,25.08.2019,ЦСКА,3,0,Ахмат,ЦСКА,1,90,90,1,0,0,1,0,0,1,8
Пз,Влашич,8,01.09.2019,Арсенал Тула,1,2,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Пз,Влашич,8,15.09.2019,Тамбов,0,2,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,1,3
Пз,Влашич,8,22.09.2019,ЦСКА,3,2,Краснодар,ЦСКА,1,90,90,2,1,1,3,1,0,0,14
Пз,Влашич,8,29.09.2019,Урал,0,3,ЦСКА,ЦСКА,1,69,69,0,0,1,1,0,0,1,6
Пз,Влашич,8,06.10.2019,ЦСКА,1,3,Ростов,ЦСКА,1,90,90,1,1,0,1,0,0,0,7
Пз,Влашич,8,20.10.2019,Уфа,1,1,ЦСКА,ЦСКА,1,90,90,0,0,1,1,0,0,0,5
Пз,Влашич,8,27.10.2019,ЦСКА,0,1,Динамо,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Пз,Влашич,8,02.11.2019,Зенит,1,1,ЦСКА,ЦСКА,1,90,90,1,0,0,1,0,0,0,7
Пз,Влашич,8,10.11.2019,Сочи,2,3,ЦСКА,ЦСКА,1,85,85,0,0,1,1,0,0,0,5
Пз,Влашич,8,24.11.2019,ЦСКА,1,0,Крылья Советов,ЦСКА,1,90,90,1,0,0,1,0,0,1,8
Пз,Влашич,8,02.12.2019,ЦСКА,0,1,Арсенал Тула,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Пз,Влашич,8,07.12.2019,Краснодар,1,1,ЦСКА,ЦСКА,1,87,87,0,0,0,0,1,0,0,1
Пз,Влашич,8,29.02.2020,ЦСКА,1,1,Урал,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Пз,Влашич,8,09.03.2020,Ростов,3,2,ЦСКА,ЦСКА,1,78,78,0,0,0,0,0,0,0,2
Пз,Влашич,8,15.03.2020,ЦСКА,0,0,Уфа,ЦСКА,1,90,90,0,0,0,0,0,0,1,3
Пз,Влашич,8,20.06.2020,ЦСКА,0,4,Зенит,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Пз,Влашич,8,27.06.2020,Динамо,0,0,ЦСКА,ЦСКА,1,90,90,0,0,0,0,0,0,1,3
Пз,Влашич,8,30.06.2020,ЦСКА,2,0,Спартак,ЦСКА,1,90,90,2,0,0,2,0,0,1,13
Пз,Влашич,8,04.07.2020,Ахмат,0,4,ЦСКА,ЦСКА,1,90,90,1,0,0,1,0,0,1,8
Пз,Влашич,8,08.07.2020,Оренбург,0,4,ЦСКА,ЦСКА,1,82,82,1,0,1,2,0,0,1,11
Пз,Влашич,8,12.07.2020,ЦСКА,1,1,Рубин,ЦСКА,1,90,90,0,0,0,0,0,0,0,2
Пз,Влашич,8,16.07.2020,Локомотив,2,1,ЦСКА,ЦСКА,1,90,90,1,0,0,1,0,0,0,7
Пз,Влашич,8,22.07.2020,ЦСКА,2,0,Тамбов,ЦСКА,1,90,90,0,0,0,0,0,0,1,3
Нп,Азмун,9.5,14.07.2019,Зенит,2,1,Тамбов,Зенит,1,88,88,0,0,0,0,0,0,0,2
Нп,Азмун,9.5,21.07.2019,Сочи,0,2,Зенит,Зенит,1,83,83,1,1,0,1,0,0,1,6
Нп,Азмун,9.5,28.07.2019,Оренбург,0,2,Зенит,Зенит,1,69,69,1,0,0,1,0,0,1,6
Нп,Азмун,9.5,03.08.2019,Зенит,1,1,Краснодар,Зенит,1,90,90,0,0,1,1,0,0,0,5
Нп,Азмун,9.5,10.08.2019,Динамо,0,2,Зенит,Зенит,1,90,90,0,0,1,1,1,0,1,4
Нп,Азмун,9.5,17.08.2019,Зенит,0,0,Ахмат,Зенит,1,90,90,0,0,0,0,0,0,1,2
Нп,Азмун,9.5,24.08.2019,Уфа,1,0,Зенит,Зенит,1,90,90,0,0,0,0,0,0,0,2
Нп,Азмун,9.5,01.09.2019,Спартак,0,1,Зенит,Зенит,1,76,76,0,0,0,0,0,0,1,2
Нп,Азмун,9.5,13.09.2019,Зенит,3,1,Арсенал Тула,Зенит,1,75,75,0,0,0,0,1,0,0,1
Нп,Азмун,9.5,28.09.2019,Локомотив,1,0,Зенит,Зенит,1,60,60,0,0,0,0,0,0,0,2
Нп,Азмун,9.5,06.10.2019,Урал,1,3,Зенит,Зенит,1,83,83,1,0,1,2,0,0,0,9
Нп,Азмун,9.5,19.10.2019,Зенит,6,1,Ростов,Зенит,1,90,90,1,0,1,2,0,0,0,9
Нп,Азмун,9.5,27.10.2019,Крылья Советов,0,2,Зенит,Зенит,1,90,90,0,0,1,1,0,0,1,5
Нп,Азмун,9.5,02.11.2019,Зенит,1,1,ЦСКА,Зенит,1,90,90,0,0,0,0,1,0,0,1
Нп,Азмун,9.5,10.11.2019,Арсенал Тула,0,1,Зенит,Зенит,1,90,90,1,0,0,1,0,0,1,6
Нп,Азмун,9.5,23.11.2019,Рубин,1,2,Зенит,Зенит,1,87,87,1,0,0,1,0,0,0,6
Нп,Азмун,9.5,01.12.2019,Зенит,1,0,Спартак,Зенит,1,63,63,0,0,0,0,0,0,1,2
