position,name,cost,date,home team,home goals,away goals,away team,team,start minute,finish minute,minutes,goals,penalties,assists,goals+assists,yellow cards,red cards,clean sheets,points
Пз,Промес,9.5,18.07.2017,Динамо,2,2,Спартак,Спартак,1,90,90,1,0,1,2,0,0,0,10
Пз,Промес,9.5,23.07.2017,Уфа,0,0,Спартак,Спартак,1,90,90,0,0,0,0,0,0,1,3
Пз,Промес,9.5,31.07.2017,Спартак,2,0,Краснодар,Спартак,1,90,90,1,1,0,1,0,0,1,8
Пз,Промес,9.5,06.08.2017,Зенит,5,1,Спартак,Спартак,1,90,90,1,1,0,1,0,0,0,7
Пз,Промес,9.5,09.08.2017,Спартак,2,0,Арсенал Тула,Спартак,1,90,90,1,0,0,1,0,0,1,8
Пз,Промес,9.5,12.08.2017,ЦСКА,2,1,Спартак,Спартак,1,90,90,0,0,0,0,1,0,0,1
Пз,Промес,9.5,19.08.2017,Спартак,3,4,Локомотив,Спартак,1,90,90,1,0,2,3,0,0,0,13
Пз,Промес,9.5,27.08.2017,СКА Хабаровск,0,0,Спартак,Спартак,1,90,90,0,0,0,0,0,0,1,3
Пз,Промес,9.5,09.09.2017,Спартак,1,0,Рубин,Спартак,1,90,90,1,0,0,1,1,0,1,7
Пз,Промес,9.5,17.09.2017,Тосно,2,2,Спартак,Спартак,36,90,55,0,0,0,0,1,0,0,0
Пз,Промес,9.5,13.10.2017,Ахмат,1,2,Спартак,Спартак,1,90,90,0,0,1,1,0,0,0,5
Пз,Промес,9.5,21.10.2017,Спартак,0,0,Амкар,Спартак,1,90,90,0,0,0,0,0,0,1,3
Пз,Промес,9.5,28.10.2017,Ростов,2,2,Спартак,Спартак,1,90,90,0,0,0,0,0,0,0,2
Пз,Промес,9.5,05.11.2017,Спартак,3,1,Уфа,Спартак,1,90,90,1,0,1,2,0,0,0,10
Пз,Промес,9.5,18.11.2017,Краснодар,1,4,Спартак,Спартак,1,90,90,1,0,1,2,0,0,0,10
Пз,Промес,9.5,27.11.2017,Спартак,3,1,Зенит,Спартак,1,90,90,0,0,0,0,0,0,0,2
Пз,Промес,9.5,10.12.2017,Спартак,3,0,ЦСКА,Спартак,1,90,90,2,0,0,2,0,0,1,13
